CN,10790
US,6231
RU,3672
PL,2199
TW,1753
FR,1118
DE,1026
SG,1010
BR,915
IN,823
NL,692
KR,662
UA,645
ES,498
LT,411
MX,388
GB,343
TH,339
IT,338
CA,336
TN,311
VN,305
RO,304
KE,284
HK,281
SE,278
NO,275
IE,216
JP,189
IR,173
AR,167
CH,162
TR,146
DK,137
ID,131
LV,105
MN,98
AE,77
CL,53
CO,41
EC,31
MD,31
VE,28
AU,23
BY,17
AT,17
LB,17
PH,13
IQ,11
None,11
RW,9
IL,9
A1,8
SI,7
LU,6
PT,6
EU,5
ZA,5
SA,5
BH,4
AL,4
PS,4
NG,4
CZ,4
KH,4
PY,3
BO,3
CR,3
IS,3
RS,3
TZ,3
BF,3
KW,2
MY,2
PA,2
KG,2
BE,2
BG,2
PK,2
PE,2
FI,2
GT,2
